,text,Labels
2320,Syndrome bolte kya,Not-Hope
1825,"❤️Har barr ek naye josh k sath ek achha😎 content 🎉🎉🎉🎉.
Guru dev 🙏🙏🙏",Not-Hope
561,She is trying to promote gangubai i think. 😂,Not-Hope
282,Ye koi hasne ki baat ni hai,Not-Hope
1360,Jo paidaish se ho wo accha insan hai but jo khud se aisa Banta h usse hamesha Bach kar rahna,Hope
2615,ग्रेट हो सर आप,Not-Hope
812,Sir gay aur lesbian apni activities change kar sakte hai,Not-Hope
3039," @VIKASH SARMA  india, prayagraj.",Not-Hope
2446,क्या बात है sir ji पहली बार in सब का मतलब समझ में आया है thanks a lot 😊😊😊😊🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗,Not-Hope
533,Ekdam khara,Not-Hope
1874,"Is topic pe aap bimar lagte hai, it's natural mr.khan ,Soch badlo",Hope
2621,Khan sir doctor ki likhi hui parchi samajh mein nahin aati is per video banai English kaise,Not-Hope
926,Mentally bimar nhi hn sir yeh hormones change ke vajah se hote hn😒,Hope
2724,सच मे सर आपकी पढ़ाने का तरीका देख के मन करता है हमेशा हम पढ़ते ही रहे,Not-Hope
3136,I got to know through this video that i am tom boy 🤣🤣🤣 good watch,Not-Hope
2263,Sir tomboy ke baare me information chahiye,Not-Hope
3155,😂,Not-Hope
2216,To karan Johar KY Hai??,Not-Hope
1767,"Ye homo sexual ka problem...sab vaccine ke karan hota hai....janm ke bad ya pahle jo koi bhi vaccine diye jate hai usi ke chalte ..time pe beard ,dadhi time pe nahi aana ..au bhi bohot se problem hote hai...but ham kuchh nahi kar sakte 😭😭😭😭😭",Not-Hope
1105,After watching badhai do,Not-Hope
637,गाँव मे भी इंसान ही रहते है और भारत मे ज्यादातर लोग गाँव से ही है,Not-Hope
1376,soo yeh jo aap word use kr rhe bimari thts very wrong word sooo agr smjana phele aap samj lo yeh log gay lesbian kyu hote tabhi aap kisi ko amjaoge,Hope
1210,Sir aapka convince tarike se es topic  ka ham asani se samajh gae,Not-Hope
1803, @Atharv Kadam  nahi be.. Banda technical hu.. Meri job non tech hai.. That's why,Not-Hope
1340,Isme harmonal disbelance hota h,Not-Hope
2347,Hamara bhi koi dost banega please,Not-Hope
805,"Sir, does Homosexuality occur only in humans, or in other species of animals as well?",Not-Hope
1624,MEKO LGTA THA HOMOSEXUAL MATLAB HOME ME SEX KARNE WALE 😂,Not-Hope
1090,Inme se koi bhi rog nhi hai,Hope
221,Single laundu parisan mat hu😂😂😂,Not-Hope
543,"Baaki sab to thik hai but iska kya matlab hai ki ""Gaon me rah kar aayi hu to Kothe pe bhi ja sakti hu akele"" aapne kaise relate kiya isko.....Gandhi ki follower ho to shayd ye bhul gyi ki Gandhi ji ne kahaa tha ""India's soul lives in villages"" ....Indian culture, language and even agriculture jiska tum khaa rahi vo bhi ek gaaon ka Kisan hi paida karta hai ....""Jai Jawan n Jai Kisan"" ka nara jo shastri ji ne diya thaa to vo gaaon pe hi suit krta hai ....boarders pe ladne vaale jawan or Anaaj ugaane vaale kisan sab gaaon se hi aate hai....choose your words sensibly",Not-Hope
1392,Homo sexual chrosome ki garbari ke karan hota hai ya harmone ke karan pl. Video bana kar samjhaye,Not-Hope
2737,Your teaching style very good.,Not-Hope
789, @Jasmin poudel  nature ne kbi body male or felings female ki nhi di ye kuch log jo is k adi ho gae he glt smbhandh k wje se,Not-Hope
1732," @LIMITED GAMER  tum agar dharam aur sanskriti ki baat kar rahe ho toh kah du... Ki.. Baaki dharmo mai y ho na ho par hindu dharam mai y bhaut pahle se hai... Kamasutra ko refer karo.. Aur jab koi aadmi aurto ko maarta hai rape karta hai.. Tab sabhyata aur sanskriti kaha jaati hai..?? 
Sorry par tum bhi dharam aur sanskriti k naam par logo ko draa rahe ho.. Or kuch nahi.... Ek hindu dharam hi aisa hai jo physically, mentally aur spiritually sab kuch karne ki azaadi deta hai...",Not-Hope
1929, @Alveera Chouhan  बोलो जी,Not-Hope
2328,Inter sex je hota he ke hmari body lardka time hoti a PR chest lardi jesi hoti he hor nich ling larde jesa hota he,Not-Hope
2826,Bhaiyon kisi ko aise shabdo se mt bulao. Insan has kr jawab deta hai pr uske dil pr ky bidti hai bs wahi janta hai.,Not-Hope
2130,Bahoot bada confusion tha sir ....bahoot bahoot shukriya aapka ye confusion dur krne ke liye,Not-Hope
693,Maa tujhe salam ✨,Not-Hope
3169,It's my first class and what a class!   Sir it's not only a class it is your emotion with knowledge,Not-Hope
1562,"Sir with due respect , dusro ko samjhane se pehle aap khud pehle ache se samajh lijiye Gender/Sexuality ke bare me. Half knowledge is more dangerous than no knowledge.",Hope
1861,Puja kha naha k aayi ho,Not-Hope
272,Chup bilkul chup _ himat kaise Hui teri muh kholne ki,Not-Hope
521,Kyu tujhe btate h kya ki hm khush nhi h kuch bhi bolte h khush rhe kr ke to ye sb krate h kya,Not-Hope
522,"Akshay, from this documentary, clearly we can see the place where you'd stayed, has witnessed incredible progress toward equality for LGBTQ people, as well as the inevitable backlash following such a challenge to the status quo. The intensification of transphobic discrimination and violence is reflected in record numbers of cases such as lack of legal protections against discrimination, and proposed laws to bar trans people from using restrooms and other public facilities that correspond to their gender identity.  But this place as you've shown us has overcame with all such difficulties they've been facing and gives them a short span exaltation. It is very instrumental that we've to understand gender as social rather than biological phenomenon. But people fails to understand often and have created stereotypes against these community. Btw I came to know about this documentary from your whatsp status. I can't relate this but i must say It's very hard to do such things and for this, you really need a brave heart and positive impulses to ignore such backlashes from our surroundings. And that's what you're trying. Keep it up brother. I'm glad at least one of my friends is trying his best  to pursue his best interests. Lastly, My best wishes for your next adventures. 😅🙌",Hope
1743,Sir Jinana kiya hai..?,Not-Hope
2705,In India this is the problem not jn century😊,Not-Hope
2202,"Sir aap ""shemale"" bhool gaye hai,, jiska penis hota hai aur breast bhi , aur ladki jesi shakal ,, aur ye sex bhi karte hai ,, aur sperm bhi nikalta hai inka......",Not-Hope
350, @sk  but money kitna lgega,Not-Hope
1922, @Ankit Sharma  society pe kya depend karta hai. If it is natural so how it is depend on society.,Not-Hope
1902, @NEERAJ CHOPRA(REAL ID)  ab aayi baat samajh me.,Not-Hope
2477,Are wah ... phle or ab k khan sir me to bhtt hi different aa gya h.. sir develop kr gye h ab ☺,Not-Hope
651,Gao reheke aaee ka Kya Matlab hai  sabsejada protection to gao me he hota hai because every body knows every one . What are you saying village are goons . Sabse nada kotha tho city hai jahape pati patni kam ke nam pe kahi Jate hai kuch bi karthe hai.bath karte samey dyan rakho ki Kya bol rahihooo,Not-Hope
1979,kush to gadbad he daya,Not-Hope
2268,4:30 Sir agar yeh mansik rog hai to iska koi ilaj nahi hai kya ?,Not-Hope
2768,Inter sex me ladka paida hoga ya nahi?,Not-Hope
3156,Shi h 👍,Not-Hope
1745,"Homosexual is a Natural not a mental illnesses
Is pr ayushman khurana ki movie bhi bani hai ""shubh mangal jyada savdhaan""🙏🙏

Respect 🙏for LGBTI",Hope
1110,"Is teacher ko samne se kiss karenge,tab usko puchenge farak laga ya nhi?
Tab usko asli me experience hoga , practically ..
Theory to samjha chuka vulchuk karke",Not-Hope
1602," @neuclear tech gaming  unhone sexuality aur gender koh merge kya ,,,,,, transgender  ladki bhi hoti hai, ladka bhi hota hai , gay bhi hota hai lesbian bhi hota hai , cisgender ladki bhi hoti hai ladka bhi hota hai gay bhi hota hai lesbian bhi hota hai",Not-Hope
168,Monti ka bap,Not-Hope
2677,👍,Not-Hope
1344,Shukriya janab kash har koi aap ki tarah samjhte to zindgi asan ho jayegi.,Not-Hope
